标称截面,钢比,计算面积铝,计算面积铝包钢,计算面积总和,铝单线根数,铝包钢单线根数,铝单线直径,铝包钢单线直径,铝包钢芯直径,绞线直径,单位长度质量,额定拉断力,20℃直流电阻JL/LB14,20℃直流电阻JL1/LB14,20℃直流电阻JL2/LB14,20℃直流电阻JL3/LB14
250/40,16.3,240,39.2,279,26,7,3.43,2.67,8.01,21.7,944.4,94.90,0.1158,0.1149,0.1140,0.1131
300/25,8.8,306,27.1,333,48,7,2.85,2.22,6.66,23.8,1040.5,90.26,0.0925,0.0917,0.0910,0.0903
300/40,13.0,300,38.9,339,24,7,3.99,2.66,7.98,23.9,1106.9,102.9,0.0933,0.0926,0.0919,0.0911
300/50,16.3,300,48.8,348,26,7,3.83,2.98,8.94,24.3,1177.2,116.8,0.0929,0.0921,0.0914,0.0907
300/70,23.3,305,71.3,377,30,7,3.60,3.60,10.8,25.2,1354.7,144.3,0.0897,0.0890,0.0884,0.0877
385/50,13.0,387,50.1,437,54,7,3.02,3.02,9.06,27.2,1429.5,133.0,0.0726,0.0720,0.0714,0.0709
400/35,8.8,391,34.4,425,48,7,3.22,2.50,7.50,26.8,1326.6,112.9,0.0724,0.0719,0.0713,0.0707
400/50,13.0,400,51.8,452,54,7,3.07,3.07,9.21,27.6,1477.2,137.5,0.0702,0.0697,0.0691,0.0686
400/65,16.3,399,65.1,464,26,7,4.42,3.44,10.3,28.0,1568.1,153.6,0.0697,0.0692,0.0686,0.0681
400/95,31.8,408,93.3,501,30,19,4.16,2.50,12.5,29.1,1797.8,196.7,0.0673,0.0668,0.0662,0.0657
440/30,6.9,443,30.6,474,45,7,3.54,2.36,7.08,28.3,1443.4,114.0,0.0642,0.0637,0.0632,0.0627
435/55,13.0,437,56.6,494,54,7,3.21,3.21,9.63,28.9,1615.0,150.3,0.0642,0.0637,0.0632,0.0627
490/35,6.9,492,34.1,526,45,7,3.73,2.49,7.47,29.9,1603.2,126.7,0.0578,0.0574,0.0569,0.0565
485/60,13.0,485,62.8,547,54,7,3.38,3.38,10.1,30.4,1790.6,166.6,0.0579,0.0575,0.0570,0.0566
550/40,6.9,551,38.0,589,45,7,3.95,2.63,7.89,31.6,1796.5,141.8,0.0516,0.0512,0.0507,0.0503
620/40,6.9,620,42.8,663,45,7,4.19,2.79,8.37,33.5,2021.4,159.6,0.0458,0.0455,0.0451,0.0447
610/75,12.7,609,77.6,687,54,19,3.79,2.28,11.4,34.1,2243.2,206.9,0.0461,0.0457,0.0454,0.0450
630/45,6.9,623,43.1,667,45,7,4.20,2.80,8.40,33.6,2031.8,160.5,0.0456,0.0452,0.0449,0.0445
630/55,8.8,640,56.3,696,48,7,4.12,3.20,9.60,34.3,2172.1,180.1,0.0442,0.0439,0.0435,0.0432
700/50,6.9,697,48.2,745,45,7,4.44,2.96,8.88,35.5,2270.7,179.4,0.0408,0.0405,0.0402,0.0398
700/85,12.7,689,87.4,776,54,19,4.03,2.42,12.1,36.3,2534.0,233.4,0.0408,0.0405,0.0401,0.0398
720/50,6.9,725,50.1,775,45,7,4.53,3.02,9.06,36.2,2363.7,185.2,0.0392,0.0389,0.0386,0.0383
790/35,4.3,791,34.1,825,72,7,3.74,2.49,7.47,37.4,2432.0,165.9,0.0362,0.0359,0.0356,0.0353
785/65,8.3,785,65.4,851,84,7,3.45,3.45,10.4,38.0,2642.7,208.9,0.0362,0.0359,0.0356,0.0353
775/100,12.7,777,98.6,875,54,19,4.28,2.57,12.9,38.5,2858.1,263.3,0.0362,0.0359,0.0356,0.0353
800/55,6.9,814,56.3,871,45,7,4.80,3.20,9.60,38.4,2653.8,208.0,0.0349,0.0346,0.0344,0.0341
800/70,8.8,808,71.3,879,48,7,4.63,3.60,10.8,38.6,2744.3,224.8,0.0350,0.0348,0.0345,0.0342
800/100,12.7,795,101,896,54,19,4.33,2.60,13.0,39.0,2925.2,269.5,0.0353,0.0350,0.0348,0.0345
880/75,8.3,884,73.6,957,84,7,3.66,3.66,11.0,40.3,2974.2,228.1,0.0321,0.0319,0.0316,0.0314
890/115,12.7,890,113,1002,54,19,4.58,2.75,13.8,41.2,3272.7,301.5,0.0316,0.0313,0.0311,0.0308
900/40,4.3,900,38.9,939,72,7,3.99,2.66,7.98,39.9,2768.8,188.9,0.0318,0.0315,0.0313,0.0310
990/45,4.3,988,42.8,1031,72,7,4.18,2.79,8.37,41.8,3039.5,207.5,0.0290,0.0287,0.0285,0.0283
1025/45,4.3,1021,44.3,1066,72,7,4.25,2.84,8.52,42.5,3142.9,214.7,0.0280,0.0278,0.0276,0.0274
1015/85,8.3,1014,84.5,1098,84,7,3.92,3.92,11.8,43.1,3411.8,261.6,0.0280,0.0278,0.0276,0.0273
1135/50,4.3,1135,49.2,1184,72,7,4.48,2.99,8.97,44.8,3491.4,238.4,0.0252,0.0250,0.0248,0.0246
1100/90,8.2,1098,89.6,1188,84,19,4.08,2.45,12.3,44.9,3684.2,286.9,0.0259,0.0257,0.0255,0.0253
1225/100,8.2,1226,100,1326,84,19,4.31,2.59,13.0,47.4,4112.3,320.4,0.0232,0.0230,0.0228,0.0226
1270/105,8.1,1271,103,1375,84,19,4.39,2.63,13.2,48.3,4261.9,331.5,0.0223,0.0222,0.0220,0.0218
1405/115,8.1,1408,114,1523,84,19,4.62,2.77,13.9,50.8,4721.4,367.4,0.0202,0.0200,0.0199,0.197
